observation_date,DDOI11PHA156NWDB
1977-01-01,1.5213299999999998
1978-01-01,1.7312299999999998
1979-01-01,1.7809900000000001
1980-01-01,1.6988599999999998
1981-01-01,1.9753300000000000
1982-01-01,2.4854300000000000
1983-01-01,2.9767500000000000
1984-01-01,2.0095000000000001
1985-01-01,2.3053900000000001
1986-01-01,2.5333099999999997
1987-01-01,2.6990200000000000
1988-01-01,2.9245400000000004
1989-01-01,2.8074499999999998
1990-01-01,2.9005099999999997
1991-01-01,3.5725199999999999
1992-01-01,4.2004400000000004
1993-01-01,4.1701199999999998
1994-01-01,4.7184699999999999
1995-01-01,6.3323900000000002
1996-01-01,5.1506600000000002
1997-01-01,7.2248199999999985
1998-01-01,6.8866199999999997
1999-01-01,7.8152600000000003
2000-01-01,8.2753999999999994
2001-01-01,11.0997000000000003
2002-01-01,11.5470000000000006
2003-01-01,11.7637000000000000
2004-01-01,12.0713000000000008
2005-01-01,12.7840000000000007
2006-01-01,12.1392000000000007
2007-01-01,10.5381000000000000
2008-01-01,10.3788999999999998
2009-01-01,11.3422999999999998
2010-01-01,10.3453999999999997
2011-01-01,9.8428500000000003
2012-01-01,9.3958600000000008
2013-01-01,9.4105600000000003
2014-01-01,9.6445100000000004
2015-01-01,9.7241900000000001
2016-01-01,9.7738099999999992
2017-01-01,9.9883400000000009
2018-01-01,9.7476500000000001
2019-01-01,9.3326200000000004
2020-01-01,9.6427700000000005
