observation_date,DDOE02PHA086NWDB
1960-01-01,1.1294299999999999
1961-01-01,1.1474500000000001
1962-01-01,1.2139599999999999
1963-01-01,1.2822499999999999
1964-01-01,1.3871800000000001
1965-01-01,1.4227500000000000
1966-01-01,1.4995799999999999
1967-01-01,1.5933600000000001
1968-01-01,1.6309400000000001
1969-01-01,1.6628400000000001
1970-01-01,1.9019800000000000
1971-01-01,2.3090700000000002
1972-01-01,2.4984999999999999
1973-01-01,2.9127500000000000
1974-01-01,3.9078599999999999
1975-01-01,4.1720800000000002
1976-01-01,4.5558800000000002
1977-01-01,5.0068599999999996
1978-01-01,5.3740899999999998
1979-01-01,6.3163400000000003
1980-01-01,7.4659500000000003
1981-01-01,8.4426899999999989
1982-01-01,9.3056800000000006
1983-01-01,10.2390000000000008
1984-01-01,15.3932000000000002
1985-01-01,18.9495000000000005
1986-01-01,19.1670000000000016
1987-01-01,19.9470999999999989
1988-01-01,22.7118000000000002
1989-01-01,25.4923999999999999
1990-01-01,28.5966999999999985
1991-01-01,34.1047999999999973
1992-01-01,37.0551999999999992
1993-01-01,39.5439999999999969
1994-01-01,43.6512000000000029
1995-01-01,46.6334000000000017
1996-01-01,50.1197999999999979
1997-01-01,52.9215999999999980
1998-01-01,57.8089000000000013
1999-01-01,61.2421999999999969
2000-01-01,63.6433000000000035
2001-01-01,67.0818000000000012
2002-01-01,68.9082999999999970
2003-01-01,70.4718000000000018
2004-01-01,73.8481000000000023
2005-01-01,78.7186999999999983
2006-01-01,83.0220000000000056
2007-01-01,85.4642000000000053
2008-01-01,92.4587999999999965
2009-01-01,96.3539999999999992
2010-01-01,100.0000000000000000
2011-01-01,104.7180000000000035
2012-01-01,107.8880000000000052
2013-01-01,110.6749999999999972
2014-01-01,114.6569999999999965
2015-01-01,115.4300000000000068
2016-01-01,116.8769999999999953
2017-01-01,120.2109999999999985
